क्र.सं.,जिल्ला,प्रतिनिधि सभा निर्वाचन क्षेत्र,राजनीतिक दल / स्वतन्त्र,उम्मेदवारको नाम,उमेर,लिङ्ग
260,मोरङ,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),जिवन घिमीरे,63,पुरुष
261,मोरङ,4,नेपाली काँग्रेस,गुरु राज घिमिरे,57,पुरुष
262,मोरङ,4,राष्ट्रिय प्रजातन्त्र पार्टी,माधव प्रसाद आचार्य,48,पुरुष
263,मोरङ,4,नेपाल मजदुर किसान पार्टी,जयराम थारु,43,पुरुष
264,मोरङ,4,मंगोल नेशनल अर्गनाइजेसन,गोल्छा राई,44,पुरुष
265,मोरङ,4,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,हरनु मुसहर,67,पुरुष
266,मोरङ,4,जनमत पार्टी,जिवन कुमार गुप्‍ता,46,पुरुष
267,मोरङ,4,"जनता समाजवादी पार्टी, नेपाल",तवरेज अखतर आलम,60,पुरुष
268,मोरङ,4,राष्ट्रिय स्वतन्त्र पार्टी,सन्तोष राजवंशी,34,पुरुष
269,मोरङ,4,आम जनता पार्टी(एकल चुनाव चिन्ह),अशोक शर्मा,36,पुरुष
270,मोरङ,4,नेपाली कम्युनिष्ट पार्टी,अमन लाल मोदी,40,पुरुष
271,मोरङ,4,श्रम संस्कृति पार्टी,कृष्ण कुमार अटल,45,पुरुष
272,मोरङ,4,नेपाल कम्युनिस्ट पार्टी (माओवादी),हरि बहादुर बस्नेत,58,पुरुष
273,मोरङ,4,उज्यालो नेपाल पार्टी,विनोद परियार,39,पुरुष
274,मोरङ,4,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",हरि नारायण चौधरी,52,पुरुष
275,मोरङ,4,राष्ट्र निर्माण दल नेपाल,कल्पना देेवि यादव,46,महिला
276,मोरङ,4,समावेशी समाजवादी पार्टी,नुमा लिम्बु,39,महिला
277,मोरङ,4,स्वतन्त्र,भक्त मणी दाहाल,58,पुरुष
278,मोरङ,4,स्वतन्त्र,विनोद कुमार कार्की,47,पुरुष
279,मोरङ,4,स्वतन्त्र,ज्ञानेन्द्र खत्री,51,पुरुष
280,मोरङ,5,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),मनोज कुमार अग्रवाल,47,पुरुष
281,मोरङ,5,नेपाली काँग्रेस,फुल कुमार लालवानी,64,पुरुष
282,मोरङ,5,राष्ट्रिय प्रजातन्त्र पार्टी,कुमोद राय,45,पुरुष
283,मोरङ,5,नेपाल मजदुर किसान पार्टी,गंगा कुमारी राजवंशी,25,महिला
284,मोरङ,5,मंगोल नेशनल अर्गनाइजेसन,सकुन्तला श्रेष्‍ठ,34,महिला
285,मोरङ,5,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,मंगल ऋषिदेव,42,पुरुष
286,मोरङ,5,जनमत पार्टी,परमेश्वर मुर्मु,46,पुरुष
287,मोरङ,5,"जनता समाजवादी पार्टी, नेपाल",राज कुमार यादव,53,पुरुष
288,मोरङ,5,राष्ट्रिय स्वतन्त्र पार्टी,आशा झा,42,महिला
289,मोरङ,5,नेपाली कम्युनिष्ट पार्टी,शिव कुमार मंडल (केवट),50,पुरुष
290,मोरङ,5,प्रगतिशील लोकतान्त्रिक पार्टी,राजेन्द्र प्रसाद मण्डल केवट,46,पुरुष
